channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
𝖮𝖥 𝖲𝖳𝖴𝖣𝗂𝖮,6740,40,1568785,233,39220,658,"Pop (J-Pop), R&B / Soul (J-Pop), Rock (J-Pop)",모든 분위기
이음 𝐄-𝐮𝐦 𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓,6940,115,4512388,650,39238,1008,"Ballad (국내), Dance (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
푸린,6390,148,3204479,501,21652,309446,Dance (국내),행복
팝송사냥꾼,7010,207,1984117,283,9585,1420,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
한놈만 팬다 𝒑𝒍𝒂𝒚𝒍𝒊𝒔𝒕,6540,40,4583218,701,114580,106918,"Pop (국외), R&B / Soul (국외), Ballad (국내), Folk (국내)",모든 분위기
dearmyblue,,,,,,9012,,모든 분위기
Today is Muumi,5880,116,2115441,360,18237,294,"R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내)",모든 분위기
LEEDAM,6420,7,2055488,320,293641,-,"New Age, Classic",모든 분위기
For you,6120,8,1023532,167,127942,26981,"Dance (국내), R&B / Soul (국내)",모든 분위기
Day Off:,6300,127,2584030,410,20347,777,"R&B / Soul (국내), Rap / Hip-hop (국내)",모든 분위기
